layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
B蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-DIM,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-LIFT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_LOUVERS,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_F_Line,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_STAIR,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_I_FF,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_WHITE FURN,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$Gl-glass,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
开眀椀瀀攀漀甀琀娀,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
簁、簁,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
m蘹慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
D蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
B蘺晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$L-LO-PV,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GRID LINE 1$0$A-ELEV. TAG,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
)蘱慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
04- GROUND FlOOR COLUMNS$0$A-STRUCT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
04- GROUND FlOOR COLUMNS$0$A-HATCH,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-FURN,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$KK-100.BASE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
